Produto;Marca;Index
CHOCOLATE MULHERES DA FLORESTA - 72% CACAU - De Mendes Lote:347 19/02/21;De Mendes;113
CHOCOLATE SAKAGUCHI - 78% CACAU - De Mendes;De Mendes;114
CHOCOLATE SAKAGUCHI - 78% CACAU - De Mendes Lote:294 Val 06/02/21;De Mendes;115
CHOCOLATE SAKAGUCHI - 78% CACAU - De Mendes Lote:295 Val 06/02/21;De Mendes;116
CHOCOLATE SAKAGUCHI - 78% CACAU - De Mendes Lote:349 Val 20/02/21;De Mendes;117
CHOCOLATE XIBA - 81% CACAU - De Mendes;De Mendes;118
CHOCOLATE XIBA - 81% CACAU - De Mendes Lote:277 Val 06/02/21;De Mendes;119
CHOCOLATE XIBA - 81% CACAU - De Mendes Lote:299 Val 06/02/21;De Mendes;120
CHOCOLATE XIBA - 81% CACAU - De Mendes Lote:334 Val 18/02/21;De Mendes;121
CUPULATE KUNKUNI - 70 CUPUACU - De Mendes;De Mendes;122
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes;De Mendes;123
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes  Lote 342 Val 19/02/21;De Mendes;124
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:310 Val 10/02/21;De Mendes;125
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:324 Val 10/02/21;De Mendes;126
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:326 Val 10/02/21;De Mendes;127
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:333 Val 10/02/21;De Mendes;128
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:353 Val 11/03/21;De Mendes;129
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:361 Val 11/03/21;De Mendes;130
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:452 Val 11/07/21;De Mendes;131
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:453 Val 11/07/21;De Mendes;132
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:458 Val 11/07/21;De Mendes;133
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:459 Val 11/07/21;De Mendes;134
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:568 Val 16/07/21;De Mendes;135
CUPULATE KUNKUNI - 70% CUPUACU - De Mendes Lote:581 Val 24/07/21;De Mendes;136
Cafe de Acai - 100g - De Veras;De Veras;137
Cafe de Acai - 100g - Deveras;De Veras;138
Conserva Flor de jambu - 200g - Deveras;De Veras;139
Conserva Flor de jambu 200g - De veras;De Veras;140
Conserva Vitoria-regia - 200g - De Veras;De Veras;141
Conserva Vitoria-regia - 200g - Deveras;De Veras;142
Cupulate 50g - De Veras;De Veras;143
Cupulate 50g - Deveras;De Veras;144
Geleia Acai - 150g - De Veras;De Veras;145
Geleia Acai - 150g - Deveras;De Veras;146
Geleia Camu camu - 40g - Deveras;De Veras;147
Geleia Camu camu - 40g -De Veras;De Veras;148
Geleia Camu-camu -150g - Deveras;De Veras;149
Geleia Cupuacu - 150g - De Veras;De Veras;150
Geleia Cupuacu - 150g - Deveras;De Veras;151
Geleia Flor de jambu - 150g - Deveras;De Veras;152
Geleia Flor de jambu -150g - De Veras;De Veras;153
Geleia Tucupi -150g - Deveras;De Veras;154
Geleia Vitoria-regia - 150g - Deveras;De Veras;155
Kit Mini Geleias - Deveras Kit:1 Flor de jambu, pupunha e tucupi;De Veras;156
Kit Mini Geleias - Deveras Kit:2 Cupuacu e Pimenta, Pajura e Acai;De Veras;157
Pimenta em po Assisi - 40g - De Veras;De Veras;158
Pimenta em po Assisi - 40g - Deveras;De Veras;159
Farofa  Vegana sabor soja -  300 g - Farofa da Amazonia;Farofa da Amazonia;160
Farofa  Vegana sabor soja -  300g - Farofa da Amazonia Lote: 15/09/20 Val 15/03/21;Farofa da Amazonia;161
Farofa sabor bacon - 300g - Farofa da Amazonia;Farofa da Amazonia;162
Farofa sabor bacon -425 g - Farofa da Amazonia  Lote 150920 Val 15/03/21;Farofa da Amazonia;163
Farofa sabor cacau - 300g - Farofa da Amazonia;Farofa da Amazonia;164
Farofa sabor cacau e castanha - 300g - Farofa da Amazonia;Farofa da Amazonia;165
Farofa sabor cacau e castanha - 425g - Farofa da Amazonia  Lote 150920 Val 15/03/21;Farofa da Amazonia;166
Farofa sabor soja - 425g - Farofa da Amazonia  Lote 15/09/20 Val 15/03/21;Farofa da Amazonia;167
Farofa sabor tradicional - 300 g -  Farofa da Amazonia;Farofa da Amazonia;168
Farofa sabor tradicional - 300 g -  Farofa da Amazonia  Lote 250920 Val 25/03/21;Farofa da Amazonia;169
Farofa sabor tradicional - 300 g - Farofa da Amazonia;Farofa da Amazonia;170
Farofa sabor tradicional- 425g - Farofa da Amazonia;Farofa da Amazonia;171
Anel Concha Flavia Amadeu;Flavia Amadeu;172
24 x  125gr Castanha do Brasil Beneficiada;Floresta em Pé;173
Castanha do Brasil - 125g - Floresta em pe;Floresta em Pé;174
Castanha do Brasil - 125g - Floresta em pe  Lote 010720 Val 01/07/21;Floresta em Pé;175
Castanha do Brasil  Organica - 125g - Floresta em pe;Floresta em Pé;176
Castanha do Brasil Beneficiada  - 125g - Floresta em pe;Floresta em Pé;177
Castanha do Brasil Beneficiada 125g;Floresta em Pé;178
Cachaca de Jambu com Castanha - 750ml - Genuina;Genuina;179
