ns1:natOp;Marca;Produto;ns1:uCom;Quantitade;Valor Unitario;ns1:vProd
Venda de mercadorias;;Geleia de Tapereba 130g;UN;1;25;25
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;20;22;440
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 300G;UN;20;33;660
Venda de mercadorias;;Guarana em po Certificado Organico - Selecionado 125g;UN;10;21,6;216
Venda de mercadorias;;KIT 6 Geleias 40g;UN;10;54;540
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;10;28,78;287,8
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Cupuacu 43g;UN;14;10,8;151,2
Venda de mercadorias;;Chocolate Nakau 63% Cacau 40g;UN;14;9,6;134,4
Venda de mercadorias;;OLEO ESSENCIAL DE PRIPIOCA;Kg;2;123,7;247,4
Venda de mercadorias;;OLEO ESSENCIAL DE BREU BRANCO;Kg;5;103,15;515,75
Venda de mercadorias;;OLEO ESSENCIAL DE COPAIBA;Kg;5;82,5;412,5
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;25;27,86;696,5
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 300G;UN;16;41,61;665,76
Venda de mercadorias;;Farinha Tapioca 150g;UN;5;9,07;45,35
Venda de mercadorias;;Feijao Manteiguinha 500g;UN;5;13,86;69,3
Venda de mercadorias;;Geleia de Acai 130g;UN;3;14,28;42,84
Venda de mercadorias;;Geleia de Pimenta 130g;UN;6;14,28;85,68
Venda de mercadorias;;Geleia de Priprioca 130g;UN;3;14,28;42,84
Venda de mercadorias;;Geleia de Tapereba 130g;UN;3;14,28;42,84
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;4;21;84
Venda de mercadorias;;KIT 6 Geleias 40g;UN;3;54;162
Venda de mercadorias;;GELEIA MANGA 130G;UN;3;14,28;42,84
Venda de mercadorias;;Geleia de Cacau com Cumaru - 130g;UN;6;14,28;85,68
Venda de mercadorias;;GELEIA DE UMBU ORGANICO 240G;UN;3;11,52;34,56
Venda de mercadorias;;COMPOTA ORGANICA DE UMBU 630G;und;3;14,4;43,2
Venda de mercadorias;;Geleia de Maracuja da Caatinga;und;3;11,52;34,56
Venda de mercadorias;;Kit Doces Frutas do Brasil;UN;6;15,84;95,04
Venda de mercadorias;;Kit Doces Caatinga Organico;UN;6;17,28;103,68
Venda de mercadorias;;Doce em corte de Umbu Organico;und;6;11,52;69,12
Venda de mercadorias;;Doce Organico de Umbu cremoso;und;6;11,52;69,12
Venda de mercadorias;;UMBU BOM ORGANICO 100G;UN;8;6,48;51,84
Venda de mercadorias;;Doce em massa de Umbu;UN;16;1,73;27,68
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;6;28,78;172,68
Venda de mercadorias;;Cafe Apui Organico;UN;12;12;144
Venda de mercadorias;;AMBURANA 100g;KG;5;16,8;84
Venda de mercadorias;;CUMARU 100gr;UN;5;20,5;102,5
Venda de mercadorias;;FLOCAO MILHO PURO MILHO NAO TRANSGENICO;und;90;2,25;202,5
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;2;25;50
Venda de mercadorias;;Cafe Apui Organico;UN;2;18;36
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;1;35;35
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;2;40;80
Venda de mercadorias;;Chocolate Nakau 81% Cacau 40g;UN;1;15;15
Venda de mercadorias;;Castanha do Brasil Beneficiada 125g;fd;4;15;60
Venda de mercadorias;;Guarana em po Certificado Organico - Selecionado 125g;UN;9;25;225
Venda de mercadorias;;Cafe Apui Organico;UN;10;18;180
Venda de mercadorias;;KIT 6 Geleias 40g;UN;1;100;100
Venda de mercadorias;;Geleia de Pimenta 130g;UN;6;20;120
Venda de mercadorias;;Geleia de Jambu 130g;UN;8;20;160
Venda de mercadorias;;Geleia de Acai 130g;UN;8;20;160
Venda de mercadorias;;Geleia de Cacau com Cumaru - 130g;UN;3;20;60
Venda de mercadorias;;GELEIA MURUCI 130G;UN;1;20;20
Venda de mercadorias;;DOCE DE GARFO DE CUPUACU 130G;UN;9;20;180
Venda de mercadorias;;Farinha Tapioca 150g;UN;8;12;96
Venda de mercadorias;;Tucupi Amarelo 1 LT;und;1;20;20
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;2;35;70
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 300G;UN;1;45;45
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;2;15;30
Venda de mercadorias;;Chocolate Nakau 72% Cacau 40g;UN;1;15;15
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Cupuacu 43g;UN;4;15;60
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g;UN;4;15;60
Venda de mercadorias;;Chocolate Nakau 63% Cacau 40g;UN;5;15;75
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Cafe Apui 40g;UN;3;15;45
Venda de mercadorias;;Chocolate Nakau 81% Cacau 40g;UN;3;15;45
Venda de mercadorias;;ARGILA ROSA 50G;UN;2;25;50
Venda de mercadorias;;ARGILA BRANCA DA AMAZONIA + CUPUACU  50G;UN;2;25;50
Venda de mercadorias;;ARGILA BRANCA DA AMAZONIA + GUARANA E ACAI  50GA;UN;3;25;75
Venda de mercadorias;;OLEO DE PATAUA;UN;1;50;50
Venda de mercadorias;;OLEO  DE PRACAXI;UN;2;50;100
Venda de mercadorias;;OLEO ESSENCIAL DE BREU BRANCO;UN;2;100;200
Venda de mercadorias;;Feijao Manteiguinha 500g;UN;4;30;120
Venda de mercadorias;;FLOCAO MILHO PURO MILHO NAO TRANSGENICO;und;90;2,25;202,5
Venda de mercadorias;;KIT 6 Geleias 40g;UN;4;80;320
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Cupuacu 43g;UN;3;14;42
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;6;14;84
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Cafe Apui 40g;UN;6;14;84
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g;UN;1;14;14
Venda de mercadorias;;Geleia de Pimenta 130g;UN;6;14;84
Venda de mercadorias;;KIT 6 Geleias 40g;UN;1;100;100
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;1;17,5;17,5
Venda de mercadorias;;Farinha Tapioca 150g;UN;5;9,07;45,35
Venda de mercadorias;;Guarana em Po Organico - 125g;UN;2;21,6;43,2
Venda de mercadorias;;Cafe Apui Organico;UN;9;12;108
Venda de mercadorias;;Guarana em Po Organico - 125g;UN;7;21,6;151,2
Venda de mercadorias;;Cafe Apui Organico;UN;7;12;84
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;5;21;105
Venda de mercadorias;;Feijao Manteiguinha 500g;UN;7;13,86;97,02
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Cafe Apui 40g;UN;7;10,8;75,6
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;7;10,8;75,6
Venda de mercadorias;;Chocolate Nakau 72% Cacau 40g;UN;7;9,6;67,2
Venda de mercadorias;;Chocolate Nakau 63% Cacau 40g;UN;7;9,6;67,2
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;2;14;28
Venda de mercadorias;;Cafe Apui Organico;UN;5;12,25;61,25
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g;UN;2;11;22
Venda de mercadorias;;KIT 6 Geleias 40g;UN;1;100;100
Venda de mercadorias;;Cafe Apui Organico;UN;18;12;216
Venda de mercadorias;;Feijao Manteiguinha 500g;UN;3;13,86;41,58
Venda de mercadorias;;OLEO  DE PRACAXI;UN;1;42;42
Venda de mercadorias;;OLEO DE COPAIBA;UN;1;35;35
Venda de mercadorias;;OLEO DE ANDIROBA;UN;1;28;28
Venda de mercadorias;;OLEO DE CASTANHA;UN;1;31,75;31,75
Venda de mercadorias;;Cafe Apui Organico;UN;1;20;20
Venda de mercadorias;;Guarana em Po Organico - 125g;UN;1;30;30
Venda de mercadoria recebida anteriormente em consignacao SP;;OLEO COPAIBA;litro;6;123;738
Venda de mercadorias;;Cafe Apui Organico;UN;7;12;84
Venda de mercadorias;;Guarana em Po Organico - 125g;UN;7;21,6;151,2
Venda de mercadorias;;Farinha Tapioca 150g;UN;7;9,07;63,49
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;7;28,78;201,46
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;7;21;147
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 5g;UN;60;1,29;77,4
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Cupuacu 5g;UN;60;1,29;77,4
Venda de mercadorias;;Oleo Buriti;litro;5;154;770
Venda de mercadorias;;Manteiga de cupuacu;kg;3;94,79;284,37
Venda de mercadorias;;manteiga de murmuru;Kg;1;84,15;84,15
Venda de mercadorias;;Manteiga de murumuru;kg;2;84,15;168,3
Venda de mercadorias;;argila branca;Kg;1;59,03;59,03
Venda de mercadorias;;argila verde;Kg;1;112,09;112,09
Venda de mercadorias;;argila rosa;Kg;1;82,56;82,56
Venda de mercadorias;;Chocolate Nakau 54% Cacau 40g;UN;1;15;15
Venda de mercadorias;;Chocolate Nakau 63% Cacau 40g;UN;1;15;15
Venda de mercadorias;;Chocolate Nakau 72% Cacau 40g;UN;1;15;15
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Cafe Apui 40g;UN;1;16,5;16,5
Venda de mercadorias;;Geleia de Acai 130g;UN;1;22;22
Venda de mercadorias;;Geleia de Jambu 130g;UN;1;22;22
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Cupuacu 43g;UN;1;15;15
Venda de mercadorias;;Cafe Apui Organico;UN;2;20;40
Venda de mercadorias;;Chocolate Nakau 63% Cacau ao Leite de Coco com Cafe Apui 5g;UN;2;3;6
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 300G;UN;48;48,56;2330,88
Venda de mercadorias;;Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g;UN;14;12,12;169,68
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;2;23,63;47,26
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;7;28,78;201,46
Venda de mercadorias;;Castanha do Brasil Beneficiada 125g;und;48;11,88;570,24
Venda de mercadorias;;COMPOTA ORGANICA DE UMBU 630G;und;4;14,4;57,6
Venda de mercadorias;;Kit Doces Caatinga Organico;UN;4;17,28;69,12
Venda de mercadorias;;Doce em corte de Umbu Organico;und;4;11,52;46,08
Venda de mercadorias;;Doce Organico de Umbu cremoso;und;4;11,52;46,08
Venda de mercadorias;;UMBU BOM ORGANICO 100G;UN;10;6,48;64,8
Venda de mercadorias;;Doce em massa de Umbu;UN;368;1,73;636,64
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;2;0;0
Venda de mercadorias;;Doce de garfo de Cupuacu 130G;UN;3;16,07;48,21
Venda de mercadorias;;Geleia de Acai 130g;UN;3;16,07;48,21
Venda de mercadorias;;Geleia de Jambu 130g;UN;3;16,07;48,21
Venda de mercadorias;;Geleia de Cacau com Cumaru - 130g;UN;3;16,07;48,21
Venda de mercadorias;;Doce em corte de Umbu Organico;und;6;12,96;77,76
Venda de mercadorias;;Chocolate Nakau 63% Cacau ao Leite de Coco com Castanha da Amazonia 5g;UN;60;1,29;77,4
Venda de mercadorias;;Chocolate Nakau 72% Cacau com Cupuacu 5g;UN;60;1,29;77,4
Venda de mercadorias;;Cafe Apui Organico;UN;18;13,5;243
Venda de mercadorias;;Guarana em Po Organico - 125g;UN;6;24,3;145,8
Venda de mercadorias;;Geleia de Manga 130G;UN;3;12,5;37,5
Venda de mercadorias;;Cafe Apui Organico;UN;1;18;18
Venda de mercadorias;;Molho de Tucupi Preto 150ml;UN;1;27;27
Venda de mercadorias;;KIT 6 Geleias 40g;UN;1;80;80
Venda de mercadorias;;Oleo Acai;litro;1;430;430
Venda de mercadorias;;Oleo de Castanha do Para;litro;2;151,3;302,6
Venda de mercadorias;;Argila Verde;Kg;2;119,65;239,3
Venda de mercadorias;;Argila Branca;Kg;3;85,55;256,65
Venda de mercadorias;;Argila Vermelha;kg;2;161,1;322,2
Venda de mercadorias;;Feijao Manteiguinha 500g;UN;14;13,86;194,04
Venda de mercadorias;;MEL DE ABELHA SEM FERRAO 150G;UN;20;28,78;575,6
Venda de mercadorias;;COMPOTA ORGANICA DE UMBU 630G;und;12;11,52;138,24
Venda de mercadorias;;Cafe Apui Organico;UN;18;12;216
