,ns1:natOp,Marca_x,Produto,ns1:uCom,Quantitade,Valor Unitario,ns1:vProd,Marca_y,Index
92,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g,UN,9,"10,8","97,2",Nakau,315.0
93,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Cupuacu 43g,UN,14,"10,8","151,2",Nakau,312.0
94,Venda de mercadorias,,Chocolate Nakau 81% Cacau 40g,UN,7,"9,6","67,2",Nakau,317.0
95,Venda de mercadorias,,Chocolate Nakau 72% Cacau 40g,UN,4,"9,6","38,4",Nakau,309.0
96,Venda de mercadorias,,Chocolate Nakau 54% Cacau 40g,UN,4,"9,6","38,4",Nakau,296.0
97,Venda de mercadorias,,Chocolate Nakau 63% Cacau 40g,UN,4,"9,6","38,4",Nakau,299.0
98,Venda de mercadorias,,Chocolate Nakau 72% Cacau 40g,UN,1,15,15,Nakau,309.0
99,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,1,"16,5","16,5",Nakau,306.0
100,Venda de mercadorias,,Geleia de Priprioca 130g,UN,1,25,25,Manioca,240.0
101,Venda de mercadorias,,Geleia de Tapereba 130g,UN,1,25,25,Manioca,243.0
102,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,20,22,440,Peabiru,363.0
103,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 300G,UN,20,33,660,Peabiru,372.0
104,Venda de mercadorias,,Guarana em po Certificado Organico - Selecionado 125g,UN,10,"21,6",216,Terramazonia,521.0
105,Venda de mercadorias,,KIT 6 Geleias 40g,UN,10,54,540,,
106,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,10,"28,78","287,8",Peabiru,363.0
107,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Cupuacu 43g,UN,14,"10,8","151,2",Nakau,312.0
108,Venda de mercadorias,,Chocolate Nakau 63% Cacau 40g,UN,14,"9,6","134,4",Nakau,299.0
109,Venda de mercadorias,,OLEO ESSENCIAL DE PRIPIOCA,Kg,2,"123,7","247,4",Simbioze Amazonica,465.0
110,Venda de mercadorias,,OLEO ESSENCIAL DE BREU BRANCO,Kg,5,"103,15","515,75",Inatú,196.0
111,Venda de mercadorias,,OLEO ESSENCIAL DE COPAIBA,Kg,5,"82,5","412,5",Simbioze Amazonica,464.0
112,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,25,"27,86","696,5",Peabiru,363.0
113,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 300G,UN,16,"41,61","665,76",Peabiru,372.0
114,Venda de mercadorias,,Farinha Tapioca 150g,UN,5,"9,07","45,35",Manioca,216.0
115,Venda de mercadorias,,Feijao Manteiguinha 500g,UN,5,"13,86","69,3",Manioca,218.0
116,Venda de mercadorias,,Geleia de Acai 130g,UN,3,"14,28","42,84",Manioca,223.0
117,Venda de mercadorias,,Geleia de Pimenta 130g,UN,6,"14,28","85,68",Manioca,239.0
118,Venda de mercadorias,,Geleia de Priprioca 130g,UN,3,"14,28","42,84",Manioca,240.0
119,Venda de mercadorias,,Geleia de Tapereba 130g,UN,3,"14,28","42,84",Manioca,243.0
120,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,4,21,84,Manioca,258.0
121,Venda de mercadorias,,KIT 6 Geleias 40g,UN,3,54,162,,
122,Venda de mercadorias,,GELEIA MANGA 130G,UN,3,"14,28","42,84",Manioca,245.0
123,Venda de mercadorias,,Geleia de Cacau com Cumaru - 130g,UN,6,"14,28","85,68",Manioca,225.0
124,Venda de mercadorias,,GELEIA DE UMBU ORGANICO 240G,UN,3,"11,52","34,56",Coopercuc,33.0
125,Venda de mercadorias,,COMPOTA ORGANICA DE UMBU 630G,und,3,"14,4","43,2",Coopercuc,23.0
126,Venda de mercadorias,,Geleia de Maracuja da Caatinga,und,3,"11,52","34,56",Coopercuc,32.0
127,Venda de mercadorias,,Kit Doces Frutas do Brasil,UN,6,"15,84","95,04",Coopercuc,35.0
128,Venda de mercadorias,,Kit Doces Caatinga Organico,UN,6,"17,28","103,68",Coopercuc,34.0
129,Venda de mercadorias,,Doce em corte de Umbu Organico,und,6,"11,52","69,12",Coopercuc,27.0
130,Venda de mercadorias,,Doce Organico de Umbu cremoso,und,6,"11,52","69,12",Coopercuc,30.0
131,Venda de mercadorias,,UMBU BOM ORGANICO 100G,UN,8,"6,48","51,84",Coopercuc,38.0
132,Venda de mercadorias,,Doce em massa de Umbu,UN,16,"1,73","27,68",Coopercuc,28.0
133,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,6,"28,78","172,68",Peabiru,363.0
134,Venda de mercadorias,,Cafe Apui Organico,UN,12,12,144,Café Apuí,17.0
135,Venda de mercadorias,,AMBURANA 100g,KG,5,"16,8",84,Manioca,209.0
136,Venda de mercadorias,,CUMARU 100gr,UN,5,"20,5","102,5",Manioca,210.0
137,Venda de mercadorias,,FLOCAO MILHO PURO MILHO NAO TRANSGENICO,und,90,"2,25","202,5",Coopercuc,31.0
138,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,2,25,50,Manioca,258.0
139,Venda de mercadorias,,Cafe Apui Organico,UN,2,18,36,Café Apuí,17.0
140,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,1,35,35,Manioca,258.0
141,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,2,40,80,Peabiru,363.0
142,Venda de mercadorias,,Chocolate Nakau 81% Cacau 40g,UN,1,15,15,Nakau,317.0
143,Venda de mercadorias,,Castanha do Brasil Beneficiada 125g,fd,4,15,60,Floresta em Pé,178.0
144,Venda de mercadorias,,Guarana em po Certificado Organico - Selecionado 125g,UN,9,25,225,Terramazonia,521.0
145,Venda de mercadorias,,Cafe Apui Organico,UN,10,18,180,Café Apuí,17.0
146,Venda de mercadorias,,KIT 6 Geleias 40g,UN,1,100,100,,
147,Venda de mercadorias,,Geleia de Pimenta 130g,UN,6,20,120,Manioca,239.0
148,Venda de mercadorias,,Geleia de Jambu 130g,UN,8,20,160,Manioca,229.0
149,Venda de mercadorias,,Geleia de Acai 130g,UN,8,20,160,Manioca,223.0
150,Venda de mercadorias,,Geleia de Cacau com Cumaru - 130g,UN,3,20,60,Manioca,225.0
151,Venda de mercadorias,,GELEIA MURUCI 130G,UN,1,20,20,Manioca,246.0
152,Venda de mercadorias,,DOCE DE GARFO DE CUPUACU 130G,UN,9,20,180,Manioca,213.0
153,Venda de mercadorias,,Farinha Tapioca 150g,UN,8,12,96,Manioca,216.0
154,Venda de mercadorias,,Tucupi Amarelo 1 LT,und,1,20,20,Manioca,271.0
155,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,2,35,70,Peabiru,363.0
156,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 300G,UN,1,45,45,Peabiru,372.0
157,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Castanha da Amazonia 43g,UN,2,15,30,Nakau,306.0
158,Venda de mercadorias,,Chocolate Nakau 72% Cacau 40g,UN,1,15,15,Nakau,309.0
159,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Cupuacu 43g,UN,4,15,60,Nakau,312.0
160,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Pimenta Baniwa 40g,UN,4,15,60,Nakau,315.0
161,Venda de mercadorias,,Chocolate Nakau 63% Cacau 40g,UN,5,15,75,Nakau,299.0
162,Venda de mercadorias,,Chocolate Nakau 63% Cacau com Cafe Apui 40g,UN,3,15,45,Nakau,304.0
163,Venda de mercadorias,,Chocolate Nakau 81% Cacau 40g,UN,3,15,45,Nakau,317.0
164,Venda de mercadorias,,ARGILA ROSA 50G,UN,2,25,50,Simbioze Amazonica,439.0
165,Venda de mercadorias,,ARGILA BRANCA DA AMAZONIA + CUPUACU  50G,UN,2,25,50,Simbioze Amazonica,422.0
166,Venda de mercadorias,,ARGILA BRANCA DA AMAZONIA + GUARANA E ACAI  50GA,UN,3,25,75,Simbioze Amazonica,426.0
167,Venda de mercadorias,,OLEO DE PATAUA,UN,1,50,50,Oleicos,354.0
168,Venda de mercadorias,,OLEO  DE PRACAXI,UN,2,50,100,Inatú,189.0
169,Venda de mercadorias,,OLEO ESSENCIAL DE BREU BRANCO,UN,2,100,200,Inatú,196.0
170,Venda de mercadorias,,Feijao Manteiguinha 500g,UN,4,30,120,Manioca,218.0
171,Venda de mercadorias,,FLOCAO MILHO PURO MILHO NAO TRANSGENICO,und,90,"2,25","202,5",Coopercuc,31.0
172,Venda de mercadorias,,KIT 6 Geleias 40g,UN,4,80,320,,
173,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Cupuacu 43g,UN,3,14,42,Nakau,312.0
